No,SMILES,Skeletons,FunctionalGroups1,FunctionalGroups2,LUMOs,Chemical_Hardness
7821,COC(=O)C=CC1CCC(c2cccs2)S(=O)O1,*C1CCC(*)S(=O)O1,*c1cccs1,*C=CC(=O)OC,-0.01581,0.13829
7822,O=S1(=O)CC(Br)CC(c2ccccc2)O1,*C1CC(*)OS(=O)(=O)C1,*c1ccccc1,*Br,-0.01581,0.15207
7823,O=S1(=O)CCC(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(c2ccccc2)O1,*C1CCS(=O)(=O)OC1*,*c1ccccc1,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-0.01581,0.15288
7824,C#CC1CCS(=O)OC1C=CC(=O)OC,*C1CCS(=O)OC1*,*C#C,*C=CC(=O)OC,-0.01581,0.15328
7825,N#CC1COS(=O)CC1C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*C1COS(=O)CC1*,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*C#N,-0.01581,0.16677
7826,C1OC(=O)C([Si](C)(C)C)OC1=O,*C1OC(=O)C(*)OC1=O,*,*[Si](C)(C)C,-0.01581,0.16904
7827,CC1CC(C(F)(F)F)COS1(=O)=O,*C1COS(=O)(=O)C(*)C1,*C(F)(F)F,*C,-0.01581,0.18457
7828,COC(=O)C1CCC(C=CC(=O)OC)OS1=O,*C1CCC(*)S(=O)O1,*C(=O)OC,*C=CC(=O)OC,-0.01582,0.15403
7829,C[Si](C)(C)C1OS(=O)(=O)CCC1Br,*C1CCS(=O)(=O)OC1*,*[Si](C)(C)C,*Br,-0.01582,0.1671
7830,C#CC1C(N=C=O)CCOS1(=O)=O,*C1CCOS(=O)(=O)C1*,*N=C=O,*C#C,-0.01582,0.17171
7831,C1OC(=O)C(CCC)OC1=O,*C1OC(=O)C(*)OC1=O,*,*CCC,-0.01582,0.17475
